Rank,Restaurant,Content,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
1,McDonald's,NA,40412,0.049,13846,-0.005,NA,Quick Service & Burger
2,Starbucks,NA,21380,0.086,15049,0.03,NA,Quick Service & Coffee Cafe
3,Chick-fil-A,"While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.",11320,0.13,2470,0.05,NA,Quick Service & Chicken
4,Taco Bell,NA,11293,0.09,6766,0.027,NA,Quick Service & Mexican
5,Burger King,NA,10204,0.027,7346,0.002,NA,Quick Service & Burger
6,Subway,NA,10200,-0.02,23801,-0.04,NA,Quick Service & Sandwich
7,Wendy's,NA,9762,0.042,5852,0.007,NA,Quick Service & Burger
8,Dunkin',"Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.",9228,0.05,9630,0.022,NA,Quick Service & Coffee Cafe
9,Domino's,NA,7044,0.069,6126,0.043,NA,Quick Service & Pizza
10,Panera Bread,NA,5890,0.04,2160,0.032,NA,Fast Casual & Bakery Cafe
11,Pizza Hut,"The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.",5558,0.006,7306,-0.024,NA,Quick Service & Pizza
12,Chipotle Mexican Grill,NA,5509,0.148,2584,0.053,NA,Fast Casual & Mexican
13,Sonic Drive-In,"The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""",4687,0.046,3526,-0.021,NA,Quick Service & Burger
14,KFC,NA,4546,0.025,4065,-0.002,NA,Quick Service & Chicken
15,Olive Garden,"Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.",4287,0.05,866,0.013,NA,Casual Dining & Italian/Pizza
16,Applebee's,NA,4085,-0.03,1665,-0.017,NA,Casual Dining & Varied Menu
17,Panda Express,"Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). ""They continue to have just strong year after strong year, and there's never any competition in their segment,"" said Schimpf.",3946,0.12,2209,0.049,NA,Fast Casual & Asian/Noodle
18,Arby's,NA,3884,0.019,3359,0.009,NA,Quick Service & Sandwich
19,Popeyes Louisiana Kitchen,NA,3812,0.183,2476,0.055,NA,Quick Service & Chicken
20,Little Caesars,"The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for ""at least $5 less"" than its competitors.",3811,0.027,4237,-0.006,NA,Quick Service & Pizza
21,Dairy Queen,NA,3760,0.029,4381,-0.006,NA,Quick Service & Frozen Desserts
22,Buffalo Wild Wings,NA,3669,-0.001,1206,-0.002,NA,Casual Dining & Sports Bar
